frame,video_time_sec,segment_id,segment_description,ground_truth,prediction,correct,primary_track_present,raw_activity,smoothed_activity,semantic_activity
267,24.181818,3,Walking,walking,walking,1,1,walking,walking,walking
268,24.272727,3,Walking,walking,walking,1,1,walking,walking,walking
269,24.363636,3,Walking,walking,walking,1,1,walking,walking,walking
270,24.454545,3,Walking,walking,walking,1,1,standing,walking,walking
271,24.545455,3,Walking,walking,walking,1,1,standing,walking,walking
272,24.636364,3,Walking,walking,walking,1,1,standing,walking,walking
273,24.727273,3,Walking,walking,walking,1,1,standing,walking,walking
274,24.818182,3,Walking,walking,standing,0,1,standing,standing,standing
275,24.909091,3,Walking,walking,standing,0,1,standing,standing,standing
276,25.000000,3,Walking,walking,standing,0,1,standing,standing,standing
277,25.090909,3,Walking,walking,standing,0,1,standing,standing,standing
278,25.181818,3,Walking,walking,standing,0,1,walking,standing,standing
279,25.272727,3,Walking,walking,standing,0,1,walking,standing,standing
280,25.363636,3,Walking,walking,standing,0,1,walking,standing,standing
281,25.454545,3,Walking,walking,standing,0,1,walking,standing,standing
282,25.545455,3,Walking,walking,walking,1,1,walking,walking,walking
283,25.636364,3,Walking,walking,walking,1,1,walking,walking,walking
284,25.727273,3,Walking,walking,walking,1,1,walking,walking,walking
285,25.818182,3,Walking,walking,walking,1,1,walking,walking,walking
286,25.909091,3,Walking,walking,walking,1,1,walking,walking,walking
287,26.000000,3,Walking,walking,walking,1,1,walking,walking,walking
288,26.090909,3,Walking,walking,walking,1,1,walking,walking,walking
289,26.181818,3,Walking,walking,walking,1,1,walking,walking,walking
290,26.272727,3,Walking,walking,walking,1,1,walking,walking,walking
291,26.363636,3,Walking,walking,walking,1,1,walking,walking,walking
292,26.454545,3,Walking,walking,walking,1,1,walking,walking,walking
293,26.545455,3,Walking,walking,walking,1,1,walking,walking,walking
294,26.636364,3,Walking,walking,walking,1,1,walking,walking,walking
295,26.727273,3,Walking,walking,walking,1,1,walking,walking,walking
296,26.818182,3,Walking,walking,walking,1,1,walking,walking,walking
297,26.909091,3,Walking,walking,walking,1,1,walking,walking,walking
298,27.000000,3,Walking,walking,walking,1,1,walking,walking,walking
299,27.090909,3,Walking,walking,walking,1,1,walking,walking,walking
300,27.181818,3,Walking,walking,walking,1,1,walking,walking,walking
301,27.272727,3,Walking,walking,walking,1,1,walking,walking,walking
302,27.363636,3,Walking,walking,walking,1,1,walking,walking,walking
303,27.454545,3,Walking,walking,walking,1,1,walking,walking,walking
304,27.545455,3,Walking,walking,walking,1,1,walking,walking,walking
305,27.636364,3,Walking,walking,walking,1,1,walking,walking,walking
306,27.727273,3,Walking,walking,walking,1,1,walking,walking,walking
307,27.818182,3,Walking,walking,walking,1,1,walking,walking,walking
308,27.909091,3,Walking,walking,walking,1,1,walking,walking,walking
309,28.000000,3,Walking,walking,walking,1,1,walking,walking,walking
310,28.090909,3,Walking,walking,walking,1,1,walking,walking,walking
311,28.181818,3,Walking,walking,walking,1,1,walking,walking,walking
312,28.272727,3,Walking,walking,walking,1,1,carrying,walking,walking
313,28.363636,3,Walking,walking,walking,1,1,standing,walking,walking
314,28.454545,3,Walking,walking,walking,1,1,standing,walking,walking
315,28.545455,3,Walking,walking,walking,1,1,standing,walking,walking
316,28.636364,3,Walking,walking,walking,1,1,standing,walking,walking
317,28.727273,3,Walking,walking,standing,0,1,standing,standing,standing
318,28.818182,3,Walking,walking,standing,0,1,walking,standing,standing
319,28.909091,3,Walking,walking,standing,0,1,walking,standing,standing
320,29.000000,3,Walking,walking,standing,0,1,walking,standing,standing
321,29.090909,3,Walking,walking,standing,0,1,walking,standing,standing
322,29.181818,3,Walking,walking,walking,1,1,walking,walking,walking
323,29.272727,3,Walking,walking,walking,1,1,walking,walking,walking
324,29.363636,3,Walking,walking,walking,1,1,walking,walking,walking
325,29.454545,3,Walking,walking,walking,1,1,walking,walking,walking
326,29.545455,3,Walking,walking,walking,1,1,walking,walking,walking
327,29.636364,3,Walking,walking,walking,1,1,walking,walking,walking
328,29.727273,3,Walking,walking,walking,1,1,walking,walking,walking
329,29.818182,3,Walking,walking,walking,1,1,walking,walking,walking
330,29.909091,3,Walking,walking,walking,1,1,walking,walking,walking
331,30.000000,3,Walking,walking,walking,1,1,walking,walking,walking
332,30.090909,3,Walking,walking,walking,1,1,walking,walking,walking
333,30.181818,3,Walking,walking,walking,1,1,walking,walking,walking
334,30.272727,3,Walking,walking,walking,1,1,walking,walking,walking
335,30.363636,3,Walking,walking,walking,1,1,walking,walking,walking
336,30.454545,3,Walking,walking,walking,1,1,walking,walking,walking
337,30.545455,3,Walking,walking,walking,1,1,walking,walking,walking
338,30.636364,3,Walking,walking,walking,1,1,walking,walking,walking
339,30.727273,3,Walking,walking,walking,1,1,walking,walking,walking
340,30.818182,3,Walking,walking,walking,1,1,walking,walking,walking
341,30.909091,3,Walking,walking,walking,1,1,walking,walking,walking
342,31.000000,3,Walking,walking,walking,1,1,walking,walking,walking
343,31.090909,3,Walking,walking,walking,1,1,walking,walking,walking
344,31.181818,3,Walking,walking,walking,1,1,walking,walking,walking
345,31.272727,3,Walking,walking,walking,1,1,walking,walking,walking
346,31.363636,3,Walking,walking,walking,1,1,walking,walking,walking
347,31.454545,3,Walking,walking,walking,1,1,walking,walking,walking
348,31.545455,3,Walking,walking,walking,1,1,walking,walking,walking
349,31.636364,3,Walking,walking,walking,1,1,walking,walking,walking
350,31.727273,3,Walking,walking,walking,1,1,walking,walking,walking
